"NOME","NUM","SEQ","SENTIDO","ITINERARY_ID","COD"
"Rua Iapó, 842 - Prado Velho","140187","1","Horário","2701","010"
"R. Ernâni Santiago de Oliveira, 212 - Centro Cívico","121012","1","Horário","6481","010"
"R. Ernâni Santiago de Oliveira, 212 - Centro Cívico","121012","1","Horário","481","010"
"Rua Imaculada Conceição, 1091 - Prado Velho","140181","1","Anti-horário","4382","011"
"Rua Ernani Santiago de Oliveira, 171 - Centro Cívico","120104","1","Anti-horário","482","011"
"Rua Ernani Santiago de Oliveira, 171 - Centro Cívico","120104","1","Anti-Horário","9473","011"
"Terminal Campina do Siqueira - 020 - Interbairros II (Horário)","104501","1","Terminal Cabral","2702","020"
"Terminal Campina do Siqueira - 021 - Interbairros II (Anti-Horário)","104506","1","Atendimento C.Siqueira - Cabral","7070","021"
"Terminal Cabral - 021 - Interbairros II (Anti-Horário)","104405","1","Anti-Horário","7051","021"
"Terminal Capão da Imbuia - 021 - Interbairros II (Anti-Horário)","104703","1","Terminal Cabral","2648","021"
"Terminal Campina do Siqueira - 021 - Interbairros II (Anti-Horário)","104506","1","Atendimento Term. C.Siqueira - Term. C.Raso","7052","021"
"Terminal Campina do Siqueira - 021 - Interbairros II (Anti-Horário)","104506","1","Terminal Capão Raso","2645","021"
"Terminal Cabral - 021 - Interbairros II (Anti-Horário)","104405","1","Terminal Campina do Siqueira","2722","021"
"Terminal Capão Raso - 021 - Interbairros II (Anti-Horário)","104819","1","Atendimento Term. C.Raso -Term. C.Siqueira","7053","021"
"Terminal Capão Raso - 021 - Interbairros II (Anti-Horário)","104819","1","Terminal Hauer","2646","021"
"Terminal Hauer - 021 - Interbairros II (Anti-Horário)","105511","1","Terminal Capão da Imbuia","2762","021"
"Terminal Cabral - 022 - Inter 2 (Horário)","109086","1","Horário","7010","022"
"Terminal Hauer - 022 - Inter 2 (Horário)","109108","1","Terminal Capão Raso","2587","022"
"Terminal Capão Raso - 022 - Inter 2 (Horário)","109095","1","Terminal Portão","2586","022"
"Terminal Portão - 022 - Inter 2 (Horário)","109091","1","Terminal Campina do Siqueira","2601","022"
"Terminal Cabral - 022 - Inter 2 (Horário)","109086","1","Terminal Capão da Imbuia","485","022"
"Terminal Capão da Imbuia - 022 - Inter 2 (Horário)","109119","1","Terminal Hauer","2585","022"
"Terminal Campina do Siqueira - 022 - Inter 2 (Horário)","109125","1","Terminal Cabral","2584","022"
"Estação Tubo Mêrces","109046","1","Terminal Cabral - Especial","2602","022"
"Terminal Cabral - 023 - Inter 2 (Anti-Horário)","109083","1","Terminal Campina do Siqueira","486","023"
"Terminal Capão da Imbuia - 023 - Inter 2 (Anti-Horário)","109117","1","Terminal Cabral","2589","023"
"Terminal Portão - 023 - Inter 2 (Anti-Horário)","109089","1","Terminal Capão Raso","2590","023"
"Terminal Capão Raso - 023 - Inter 2 (Anti-Horário) / 508-Sítio Cercado (Anti-Horário)","109093","1","Terminal Hauer","2622","023"
"Terminal Campina do Siqueira - 023 - Inter 2 (Anti-Horário) - 024 - C.Raso - Camp.Siqueira","109167","1","Terminal do Portão","2588","023"
"Terminal Campina do Siqueira - 023 - Inter 2 (Anti-Horário) - 024 - C.Raso - Camp.Siqueira","109167","1","Anti-Horário(Circular)","7190","023"
"Terminal Hauer - 023 - Inter 2 (Anti-Horário)","109109","1","Terminal Capão da Imbúia","2621","023"
"Terminal Campina do Siqueira - 023 - Inter 2 (Anti-Horário) - 024 - C.Raso - Camp.Siqueira","109167","1","Atendimento Term. Capão Raso-Mercês Via Camp.Siqueira","8813","024"
"Terminal Capão Raso - 022 - Inter 2 (Horário)","109095","1","Terminal Campina do Siqueira","487","024"
"Estação Tubo Santa Quitéria","109066","1","Atendimento Santa Quitéria - Capão Raso","6606","024"
"Terminal Campina do Siqueira - 023 - Inter 2 (Anti-Horário) - 024 - C.Raso - Camp.Siqueira","109167","1","Terminal Capão Raso","1723","024"
"Terminal Capão Raso - 020 - Interbairros II (Horário)","104805","1","Terminal Campina do Siqueira","2183","027"
"Terminal Campina do Siqueira - 020 - Interbairros II (Horário)","104501","1","Terminal Capão Raso","2184","027"
"Terminal Capão Raso - 030 - Interbairros III","104815","1","Terminal Santa Cândida Final de semana","488","030"
"Terminal Bairro Alto - 030 - Interbairros III","104001","1","Terminal Capão Raso","11374","030"
"Terminal Santa Cândida - 030 - Interbairros III","105907","1","Terminal Capão Raso Final de semana","10655","030"
"Terminal Capão Raso - 030 - Interbairros III","104815","1","Terminal Bairro Alto","11438","030"
"Terminal Santa Felicidade","106001","1","Terminal Pinheirinho","490","040"
"Terminal Pinheirinho - 040 - Interbairros IV","105718","1","Terminal Sta Felicidade","491","040"
"Terminal Oficinas - 050 - Interbairros V","105607","1","Terminal Fazendinha","493","050"
"Terminal Fazendinha - 050 - Interbairros V","105312","1","Terminal Oficinas","492","050"
"Terminal Pinheirinho - 060 - Interbairros VI","105733","1","Terminal Campo Comprido","495","060"
"Terminal Campo Comprido - 060 - Interbairros VI","104616","1","Terminal Pinheirinho","494","060"
"Praça Santos Andrade - 150 - C. da Música / Vista Alegre","110312","1","Canal da Música / Vista Alegre","499","150"
"R. Dep. José Hoffmann, 80 - Vista Alegre","190836","1","Teatro Guaira / Pça Santos Andrade","498","150"
"Rua Rio de Janeiro, 1293 - Água Verde","150689","1","Jd Mercês","501","160"
"R. Eng. Agro. Lauro Klas, 106 - Pilarzinho","190896","1","Guanabara","10715","160"
"Rua Raquel Prado, 808 - Mercês","110417","1","Mal.Floriano","8613","164"
"Av. Mal. Floriano Peixoto - 164 - R.Prado / C.Ggomes","103512","1","Raquel Prado","8614","164"
"Rua São Francisco Xavier, 132 - Pilarzinho","190600","1","Nestor de Castro","8616","166"
"Nestor de Castro - 166 - Vila Nori","101170","1","V.Nori","8617","166"
"Nestor de Castro - 168 - Raposo Tavares","101123","1","Raposo Tavares","509","168"
"Rua Tomaz Tessari, 95 - Lamenha Pequena","190638","1","Nestor de Castro","508","168"
"R. Jorn. Geraldo Russe, 1-79 - Pilarzinho","120350","1","Nestor de Castro","8634","169"
"Nestor de Castro - 169 - Jd. Kosmos","101128","1","Jd. Kosmos","8635","169"
"Nestor de Castro - 170 - Bracatinga","101126","1","Bracatinga","8673","170"
"Rua Otalino Amado de Souza, 1 - Pilarzinho","120317","1","Nestor de Castro","8653","170"
"Rua Domingos Antônio Moro, 1267 - Pilarzinho","120342","1","Nestor de Castro","8654","171"
"Nestor de Castro - 171 - Primavera","101127","1","Primavera","8655","171"
"Rua Imaculada Conceição, 1174 - Prado Velho","140271","1","Bom Retiro","8657","175"
"R. Rolfe Mertens, 42 - Pilarzinho","120948","1","PUC","8656","175"
"Rua Verônica Mickosz Bodzinski, 111 - Taboão","120248","1","Nestor de Castro","8636","176"
"Nestor de Castro - 176 - Parque Tanguá","101129","1","Parque Tanguá","8637","176"
"Praça Tiradentes - 181 - Mateus Leme","101018","1","Mateus Leme","8675","181"
"Rua Ver. Vadislau Bugalski, 7622 - Taboão","120421","1","Praça Tiradentes","8659","181"
"Terminal Barreirinha - 182 - Abranches","104107","1","Praça Tiradentes","8660","182"
"Praça Tiradentes - 182 - Abranches","101021","1","Terminal Barreirinha","8661","182"
"Praça Tiradentes - 183 - Jardim Chaparral","101020","1","Jd. Chaparral","8676","183"
"Rua Wilson Gomes Ramos, 273 - Abranches","120300","1","Praça Tiradentes","8662","183"
"Rodovia dos Minérios - Almirante Tamandaré - PR","120288","1","Praça Tiradentes","8663","184"
"Praça Tiradentes  - 184 - Vila Suíça","101019","1","V.Suiça","8664","184"
"Rua Otalino Amado de Souza, 1 - Pilarzinho","120317","1","Sentido Uberaba","10993","188"
"Rua Aviador Armin Buhrer, 840 - Uberaba","140080","1","Sentido Pilarzinho","10994","188"
"Praça Rui Barbosa - 761 - Vila Izabel","102012","1","Abranches","10716","189"
"Terminal Santa Cândida - 200 - Ligeirão Sta.Cândida/Pça. do Japão - 203 - Santa Cândida / Capão Raso","105901","1","Praça do Japão","8853","200"
"Estação Tubo Bento Viana","108035","1","Terminal Santa Cândida","8854","200"
"Terminal Capão Raso - 203 - Santa Cândida / Capão Raso","104801","1","Atendimento Terminal Boa Vista","9153","202"
"Estação Central","108024","1","Estação Central - Terminal Capão Raso","9033","202"
"Terminal Cabral - 200-Ligeirão Sta.Cândida-Pça. do Japão - 203-Santa Cândida/Capão Raso","104413","1","Terminal Capão Raso","6622","202"
"Terminal Capão Raso - 203 - Santa Cândida / Capão Raso","104801","1","Terminal Cabral","6621","202"
"Terminal Capão Raso - 203 - Santa Cândida / Capão Raso","104801","1","Terminal Sta.Cândida","5561","203"
"Terminal Santa Cândida - 200 - Ligeirão Sta.Cândida/Pça. do Japão - 203 - Santa Cândida / Capão Raso","105901","1","Terminal Capão Raso","5562","203"
"Trav. Moreira Garcês - 205 - Barreirinha","101161","1","Terminal Barreirinha","539","205"
"Terminal Barreirinha - 205 - Barreirinha","104103","1","Moreira Garcez","538","205"
"Praça Osório - 207 -Cabral / Osório","103303","1","Terminal Cabral","8666","207"
"Terminal Cabral - 207 - Cabral / Osório","104412","1","Praça Osório","8677","207"
"Av. Paraná, 4752 - Santa Candida","120324","1","Capão Raso","546","209"
"Av. República Argentina, 5027 - Novo Mundo","170260","1","Santa Cândida","547","209"
